,mean,std
Sa(g),0.181217918,0.131901231
T1,1.124291813,0.337554189
CAV,0.5115989,0.434466962
D95_D5,0.332572163,0.261102754
IA,0.329458431,0.562624963
Omega,1.440716601,0.159541533
Lbay,295.9496884,56.6103396
Fy,58.98622153,7.276928739
Es,34310.01313,4577.116851
ϴp_Beam2,0.033340151,0.005727907
